0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:23:05 +0200] "GET /signup/registration.jsp HTTP/1.1" 200 5894
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:23:05 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:23:05 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:23:25 +0200] "GET /signup/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:23:25 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:23:25 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:23:25 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:23:28 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:23:28 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:23:28 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:33 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:33 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:33 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:34 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:34 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:34 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:34 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:34 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:34 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:35 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:35 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:35 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:25:35 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
